crt.sh ID,Logged At,Not Before,Not After,Common Name,Matching Identities,Issuer Name
8553335,2015-07-23,2014-09-18,2016-09-18,"webmail.impuestos.gob.bo","autodiscover.impuestos.gob.bo
impuestos.gob.bo
webmail.impuestos.gob.bo
www.webmail.impuestos.gob.bo","C=US, ST=Arizona, L=Scottsdale, O=\"GoDaddy.com, Inc.\", OU=http://certs.godaddy.com/repository/, CN=Go Daddy Secure Certificate Authority - G2"
14491014,2016-03-08,2013-09-20,2016-09-20,"sipexternal.impuestos.gob.bo","dialin.impuestos.gob.bo
impuestos.gob.bo
lsrp.impuestos.gob.bo
lyncdiscover.impuestos.gob.bo
meet.impuestos.gob.bo
sipexternal.impuestos.gob.bo
wacpool.impuestos.gob.bo
webconf.impuestos.gob.bo
www.sipexternal.impuestos.gob.bo","C=US, ST=Arizona, L=Scottsdale, O=\"GoDaddy.com, Inc.\", OU=http://certificates.godaddy.com/repository, CN=Go Daddy Secure Certification Authority, serialNumber=07969287"
31166438,2016-09-06,2016-08-23,2019-08-28,"*.impuestos.gob.bo","*.impuestos.gob.bo
impuestos.gob.bo","C=US, O=DigiCert Inc, CN=DigiCert SHA2 Secure Server CA"
39388111,2016-10-02,2012-09-06,2014-09-06,"webmail.impuestos.gob.bo","autodiscover.impuestos.gob.bo
webmail.impuestos.gob.bo
www.webmail.impuestos.gob.bo","C=US, ST=Arizona, L=Scottsdale, O=\"GoDaddy.com, Inc.\", OU=http://certificates.godaddy.com/repository, CN=Go Daddy Secure Certification Authority, serialNumber=07969287"
42496830,2016-10-12,2016-08-23,2019-08-28,"*.impuestos.gob.bo","*.impuestos.gob.bo
impuestos.gob.bo
webmail.impuestos.gob.bo","C=US, O=DigiCert Inc, CN=DigiCert SHA2 Secure Server CA"
302118956,2018-01-13,2017-05-10,2019-05-10,"*.impuestos.gob.bo","*.impuestos.gob.bo
impuestos.gob.bo","C=US, ST=Arizona, L=Scottsdale, O=\"GoDaddy.com, Inc.\", OU=http://certs.godaddy.com/repository/, CN=Go Daddy Secure Certificate Authority - G2"
1774352081,2019-08-15,2019-08-15,2019-11-13,"*.impuestos.gob.bo","*.impuestos.gob.bo","C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"
1822777420,2019-08-15,2019-08-15,2019-11-13,"*.impuestos.gob.bo","*.impuestos.gob.bo","C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"
2103449443,2019-11-12,2019-11-12,2020-02-10,"*.impuestos.gob.bo","*.impuestos.gob.bo","C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"
2103449517,2019-11-12,2019-11-12,2020-02-10,"*.impuestos.gob.bo","*.impuestos.gob.bo","C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"
2414041621,2020-02-03,2020-02-03,2020-05-03,"*.impuestos.gob.bo","*.impuestos.gob.bo","C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"
2430265997,2020-02-03,2020-02-03,2020-05-03,"*.impuestos.gob.bo","*.impuestos.gob.bo","C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"
2457071685,2020-02-14,2020-02-13,2020-05-13,"*.impuestos.gob.bo","*.impuestos.gob.bo","C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"
2459013881,2020-02-14,2020-02-13,2020-05-13,"*.impuestos.gob.bo","*.impuestos.gob.bo","C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"
2736912184,2020-04-26,2020-04-26,2020-07-25,"*.impuestos.gob.bo","*.impuestos.gob.bo","C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"
2758715555,2020-04-26,2020-04-26,2020-07-25,"*.impuestos.gob.bo","*.impuestos.gob.bo","C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"
2912837834,2020-06-06,2020-06-06,2020-07-06,"expe.pruebas.impuestos.gob.bo","expe.pruebas.impuestos.gob.bo
www.expe.pruebas.impuestos.gob.bo","C=GB, ST=Greater Manchester, L=Salford, O=Sectigo Limited, CN=Sectigo RSA Domain Validation Secure Server CA"
2912837738,2020-06-06,2020-06-06,2020-07-06,"expe.pruebas.impuestos.gob.bo","expe.pruebas.impuestos.gob.bo
www.expe.pruebas.impuestos.gob.bo","C=GB, ST=Greater Manchester, L=Salford, O=Sectigo Limited, CN=Sectigo RSA Domain Validation Secure Server CA"
3013083519,2020-06-28,2020-06-28,2020-09-26,"test.idp.impuestos.gob.bo","test.idp.impuestos.gob.bo","C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"
3013082516,2020-06-28,2020-06-28,2020-09-26,"test.idp.impuestos.gob.bo","test.idp.impuestos.gob.bo","C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"
3069135461,2020-07-10,2020-07-10,2021-07-10,"expe.pruebas.impuestos.gob.bo","expe.pruebas.impuestos.gob.bo
www.expe.pruebas.impuestos.gob.bo","C=US, ST=Arizona, L=Scottsdale, O=\"GoDaddy.com, Inc.\", OU=http://certs.godaddy.com/repository/, CN=Go Daddy Secure Certificate Authority - G2"
3119729659,2020-07-21,2020-07-21,2020-10-19,"*.impuestos.gob.bo","*.impuestos.gob.bo","C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"
3119731174,2020-07-21,2020-07-21,2020-10-19,"*.impuestos.gob.bo","*.impuestos.gob.bo","C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"
3438870684,2020-09-28,2020-09-28,2020-12-27,"test.idp.impuestos.gob.bo","test.idp.impuestos.gob.bo","C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"
3438868858,2020-09-28,2020-09-28,2020-12-27,"test.idp.impuestos.gob.bo","test.idp.impuestos.gob.bo","C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"
3513159479,2020-10-15,2020-10-15,2021-01-13,"*.impuestos.gob.bo","*.impuestos.gob.bo","C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"
3513165322,2020-10-15,2020-10-15,2021-01-13,"*.impuestos.gob.bo","*.impuestos.gob.bo","C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"
3656171759,2020-11-16,2020-11-16,2021-02-14,"sac.impuestos.gob.bo","sac.impuestos.gob.bo","C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"
3656171774,2020-11-16,2020-11-16,2021-02-14,"sac.impuestos.gob.bo","sac.impuestos.gob.bo","C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"
3902250655,2021-01-09,2021-01-09,2021-04-09,"*.impuestos.gob.bo","*.impuestos.gob.bo","C=US, O=Let's Encrypt, CN=R3"
3902255841,2021-01-09,2021-01-09,2021-04-09,"*.impuestos.gob.bo","*.impuestos.gob.bo","C=US, O=Let's Encrypt, CN=R3"
4148393505,2021-03-01,2021-03-01,2021-05-30,"sac.impuestos.gob.bo","sac.impuestos.gob.bo","C=US, O=Let's Encrypt, CN=R3"
4148393435,2021-03-01,2021-03-01,2021-05-30,"sac.impuestos.gob.bo","sac.impuestos.gob.bo","C=US, O=Let's Encrypt, CN=R3"
4204848006,2021-03-12,2021-03-12,2021-06-10,"test.idp.impuestos.gob.bo","test.idp.impuestos.gob.bo","C=US, O=Let's Encrypt, CN=R3"
4204847351,2021-03-12,2021-03-12,2021-06-10,"test.idp.impuestos.gob.bo","test.idp.impuestos.gob.bo","C=US, O=Let's Encrypt, CN=R3"
4332812864,2021-04-06,2021-04-06,2021-07-05,"*.impuestos.gob.bo","*.impuestos.gob.bo","C=US, O=Let's Encrypt, CN=R3"
4332813403,2021-04-06,2021-04-06,2021-07-05,"*.impuestos.gob.bo","*.impuestos.gob.bo","C=US, O=Let's Encrypt, CN=R3"
4622057728,2021-05-31,2021-05-31,2021-08-29,"sac.impuestos.gob.bo","sac.impuestos.gob.bo","C=US, O=Let's Encrypt, CN=R3"
4622057677,2021-05-31,2021-05-31,2021-08-29,"sac.impuestos.gob.bo","sac.impuestos.gob.bo","C=US, O=Let's Encrypt, CN=R3"
4789082812,2021-06-30,2021-06-30,2021-09-28,"*.impuestos.gob.bo","*.impuestos.gob.bo","C=US, O=Let's Encrypt, CN=R3"
4789082757,2021-06-30,2021-06-30,2021-09-28,"*.impuestos.gob.bo","*.impuestos.gob.bo","C=US, O=Let's Encrypt, CN=R3"
5132577754,2021-08-30,2021-08-30,2021-11-28,"sac.impuestos.gob.bo","sac.impuestos.gob.bo","C=US, O=Let's Encrypt, CN=R3"
5132577432,2021-08-30,2021-08-30,2021-11-28,"sac.impuestos.gob.bo","sac.impuestos.gob.bo","C=US, O=Let's Encrypt, CN=R3"
5156768604,2021-09-03,2021-09-03,2021-12-02,"culturatributaria-naf.impuestos.gob.bo","culturatributaria-naf.impuestos.gob.bo","C=US, O=Let's Encrypt, CN=R3"
